Tuition Fee ( Core Lab ),5000,Every semester,10.    How can I Change/ Add/Drop course after the registration?,"After the registration, you may be able to Change/Add/Drop any course within 7 days after the last date of the registration. Contact your batch coordinator.",13.    Is there any waiver for Spouse?,"Yes we offer 20% waiver for Spouse. Couple has to fill a prescribed waiver form with marriage certificate during 
their admission",,,,,About Innovation & Entrepreneurship,"The Department of Innovation and Entrepreneurship aims to provide students a platform to develop relevant entrepreneurial skills through the practical assignment and project work and elevating the growth of new ventures through continuous mentoring and funding supported by venture capitals, angel investors, entrepreneurship development fund and other seed funds.",,,Can I bring a car/bike?,Yes,,,,,,,,,,,,,,,,
Tuition Fee ( Core With Lab for 1 Credit ),4950,Every semester,11.    How can I complete my course registration in the semester? (For existing students),"Collect your account clearance by paying the registration fees in the Accounts Section.
Submit it (keep a photocopy) to the batch coordinator in your department. He/she will complete your course registration as per the rule.
After the completion, you have to check the student portal to confirm the completion of course registration.",14.    How much waiver can a tribal get from DIU?,"Tribal students of Bandarban, Khagrachari, Rangamti will get 15% tuition fees waiver and students have to maintain semester result 3.00",,,,,About CIS department,The department of Computing and Information System (CIS)  since its inception has been continuously fostering academic excellence through industry academy collaboration especially integrating industry demands of ICT skills in the core curriculum of the CIS program.,,,Are the necessary furniture's available in the room?,"Yes, necessary furniture's are provided for each student in the room",,,,,,,,,,,,,,,,
Tuition Fee ( Core With Lab for 2 Credit ),4967,Every semester,12.    How do I complete course registration in the semester? (For new Students),"Collect your account clearance by paying the registration fees/Admission fees in the Accounts Section.
Submit the filled up StudentInsurance Form (given during the admission) and the account clearanceto the Coordination Officer of the Department Office.
When the registration is done by the department Office, you have to check the student portal to confirm your registration.",15.    Do you have any waiver facilities for physically challenged student?,Yes. Physically challeged student will get 25% tuition fees waiver and  students have to maintain semester result 3.00,,,,,About PES department,The department of Physical Education and Sports Science aims to produce high-quality graduates aspiring to become environmental scientists and make positive impacts to save the world and its population,,,What is the room size?,Each room is 300 Square Feet in size.,,,,,,,,,,,,,,,,
Tuition Fee ( Core With Lab for 3 Credit ),4934,Every semester,13.    what is the deadlines for applying at DIU ?,Pls follow the deadlines url  Admission,16.    Do you have semester result based waiver?,Yes we do. Students can enjoy 10%-50% tuition fees waiver based on their semester result.,,,,,About Real Esate Department,"The Department of Real Estate offers program majors in Banking & Finance, Land Management and Marketing. Real estate graduates are specialists in the real estate sector, but they can work in government organizations, universities, banks & financial institutions. Additionally they have the golden opportunity to become entrepreneurs",,,"In case any valuable items are lost from the room,
 will the authority pay for that?",No,,,,,,,,,,,,,,,,
Tuition Fee ( Core With Lab for 4 Credit ),4925,Every semester,14.    What are the tuition fees of Daffodil International University for study,"For local Students
For International Students",17.    How much waiver can I get if I do well in semester result?,"Students having 3.80-4.00 for FBE,FSIT,FE faculty will get 10%-50% and 3.60-4.00 for FHSS faculty will get 10%-50% tuition fees waiver.",,,,,About English department,"The Department of English brings together three different but related areas of study: Literature, Linguistics, and Communicative English. Freshers and sophomores of the department are offered skill-based (Listening, Speaking, Reading, Writing) courses that directly help them upgrade their ability in English language usage.",,,Is the laundry facility available?,"Yes, the laundry facility is available with other in-room services.",,,,,,,,,,,,,,,,
Tuition Fee ( General Course ),3300,Every semester,,,18.    How can I get a additional waiver?,"Students can not get waiver more than one category. But those without having any kind of
 waiver can apply for financial aid with prescribed form.

Link: http://financialaid.daffodilvarsitye.edu.bd
",,,,,,,,,Is the medical facility available on the campus?,"Yes, we have medical facilities available on campus.",,,,,,,,,,,,,,,,
Tuition Fee ( GED Lab ),5000,Every semester,,,19.    Do I have to submit a separate waiver form in every semester?,No you don't have to fill form in every semester. It will generate automatically.,,,,,,,,,Is there electricity available in the hall?,Yes,,,,,,,,,,,,,,,,
Tuition Fee ( Lab ),5000,Every semester,,,"20.    I have a problem with my waiver, whom can I talk with?",Please contact to the duty officer of Admission office and Registrar office.,,,,,,,,,"Is there any generator at the hall 
in case of load shedding?
",Yes,,,,,,,,,,,,,,,,
Tuition Fee ( Non Core ),4900,Every semester,,,21.    My waiver is approved but why it's not showing in the student portal?,You have to wait till it's update by the accounts section. If it's not updated within a semester then contact with duty officer of accounts section.,,,,,,,,,Is the Wi-Fi facility available in the hall?,"Yes, 24/7 high-speed Wi-Fi facility is available in the hall.",,,,,,,,,,,,,,,,
Tuition Fee ( Project/Thesis/Internship ),3200,Every semester,,,22.    Can a student from Daffodil Int. College get a waiver?,"DIU offers 20% tuition fees waiver for the students of Daffodil International College.They will get 30 % tuition fees waiver for their improved 
result in HSC than SSC examination.",,,,,,,,,Can students book a seat from home?,Yes. Students can book seat from home online using Hall Portal,,,,,,,,,,,,,,,,
"Cost  in M.Sc. in Computer Science 
and Engineering (CSE)","169,875 - 238500 =/",Total Cost,,,23.    How much one can get from need based waiver quota?,"Students who are not financially very sound may apply for TFW by applying in a prescribed Financial Aid Form and undergo an interview with
 the waiver/scholarship committee. The committee may grant 10-30% TFW case by case depending on the financial crisis of the students.

http://financialaid.daffodilvarsity.edu.bd/?app=home",,,,,,,,,Can the students select the room and Hall?,No.,,,,,,,,,,,,,,,,
"Cost of M.S. in Management 
information System (MIS)","1,01,930 - 152520 =/",,,,24.    Is there any waiver for Employees' Or their Spouse/ Siblings/Ward?,"Yes. DIU employees or their first blood relatives will get 50% tuition fee exemption. They will have to maintain 
a GPA 3.00. No restriction will be imposed in taking courses on the employees of DIU. The waiver will be 
effective only if the employee gained one year working experience from DIU otherwise the waiver will not
 be enjoyable. DIU employees must serve at DIU at least for 2 years after completion of degree. Otherwise 
they have to return half of the benefit received while quitting the service. The employee will have to 
submit a Letter of Commitment in Stamp Paper in this regard.",,,,,,,,,Who is eligible to apply for student accommodation?,Students parents or local guardian.,,,,,,,,,,,,,,,,
B.Sc. in Software Engineering (SWE),"8,71,200 =/",,,,"25.    If I am getting waiver in one category, may I get waiver in another category?","The students who are already enjoying waiver benefits in any category should not apply for further waiver
 benefits. The students who are already enjoying waiver benefits in any category should not apply for further
 waiver benefit.",,,,,,,,,When can I apply for accommodation?,"After university admission.
",,,,,,,,,,,,,,,,
M.Sc. in Software Engineering (SWE),"147,375 =/",,,,26.    What happened to my waiver if i change department?,"In case of transferred students from one program to another, to retain the received waiver benefit students have to fill a Form again after
 changing their Program.",,,,,,,,,"Can I apply for accommodation before I know
 I am accepted to the University?",No,,,,,,,,,,,,,,,,
B.Sc. in Multimedia and Creative Technology (MCT),"683,850=/",,,,27.    Will I get waiver on total Fees?,"Waiver benefit is applicable only for tuition fee and not applicable for Admission fee, Semester fee, 
Library fee, Lab fee, Extra Curricular activities fee, Improvement, Retake, Project/ Dissertation/Internship etc.",,,,,,,,,Will I get a refund if I cancel my contract?,No,,,,,,,,,,,,,,,,
B.Sc. in Environmental Science and Disaster Management (ESDM),"551,200 =/",,,,28.    Is there any waiver for the Siblings of DIU Alumni?,"10% tuition fee exemption will be given for DIU Alumni or their first blood relatives and for enjoying the benefit they 
will have to maintain a GPA 3.00.",,,,,,,,,,,,,,,,,,,,,,,,,,
B.Sc. in Computing and Information System (CIS),"712,500=/",,,,29.    Is there any waiver quota for the players?,"Yes. The national player will get Full free scholarship, Premier division players will avail 90% and First division player
 will avail 80% tuition fee waiver (from any back ground or event) excluding other fees until special consideration or
 recommendation and students have to maintain semester result 2.50",,,,,,,,,,,,,,,,,,,,,,,,,,
